id1	id2	count1	count2
GBC118109	GBC16556	370	5
GBC16829	GBC16680	505	2
GBC16680	GBC16912	2	2
GBC118398	GBC16680	231	2
GBC119249	GBC16680	4	2
GBC16829	GBC16750	505	1
GBC118598	GBC16750	17	1
GBC16786	GBC16776	5	1
GBC16803	GBC16776	4	1
GBC16776	GBC118686	1	1
GBC16829	GBC16786	505	5
GBC118720	GBC16786	195	5
GBC16803	GBC16800	4	1
GBC16800	GBC16824	1	1
GBC16829	GBC16803	505	4
GBC16803	GBC16849	4	1
GBC118779	GBC16803	323	4
GBC16829	GBC16821	505	4
GBC118839	GBC16821	293	4
GBC16829	GBC16824	505	1
GBC118855	GBC16824	31	1
GBC16829	GBC16827	505	5
GBC118865	GBC16827	181	5
GBC16829	GBC16849	505	1
GBC16829	GBC16912	505	2
GBC16829	GBC69886	505	1
GBC16829	GBC93753	505	2
GBC118869	GBC16829	48642	505
GBC16829	GBC209329	505	28
GBC16829	GBC294437	505	8
GBC16829	GBC388639	505	1
GBC118937	GBC16849	44	1
GBC119218	GBC16912	25	2
GBC751115	GBC17274	576	1
GBC390283	GBC18897	95	1
GBC392815	GBC20865	198	1
GBC22106	GBC29475	1	1
GBC22160	GBC22528	19	1
GBC24868	GBC22911	14	1
GBC24572	GBC24566	32	2
GBC24572	GBC26174	32	1
GBC24572	GBC1056333	32	2
GBC24868	GBC24864	14	1
GBC24868	GBC299895	14	1
GBC25877	GBC25887	3	1
GBC29498	GBC25977	15	1
GBC26887	GBC26934	88	1
GBC27254	GBC27220	48	1
GBC28104	GBC399691	1	1
GBC29526	GBC29382	2343	3
GBC29526	GBC29475	2343	1
GBC29498	GBC29500	15	1
GBC29526	GBC29498	2343	15
GBC29498	GBC29534	15	2
GBC29498	GBC29537	15	3
GBC29498	GBC29585	15	1
GBC29498	GBC29987	15	2
GBC29529	GBC29500	5	1
GBC29526	GBC29518	2343	34
GBC29518	GBC29530	34	1
GBC29518	GBC29531	34	1
GBC29518	GBC29618	34	1
GBC29522	GBC29520	2	1
GBC29526	GBC29520	2343	1
GBC29529	GBC29520	5	1
GBC29526	GBC29522	2343	2
GBC29529	GBC29522	5	2
GBC29526	GBC29529	2343	5
GBC29526	GBC29530	2343	1
GBC29526	GBC29531	2343	1
GBC29526	GBC29534	2343	2
GBC29526	GBC29537	2343	3
GBC29526	GBC29543	2343	1
GBC29526	GBC29547	2343	2
GBC29526	GBC29550	2343	4
GBC29526	GBC29623	2343	2
GBC29526	GBC29662	2343	1
GBC29526	GBC29688	2343	1
GBC29526	GBC29697	2343	3
GBC29526	GBC29996	2343	3
GBC29526	GBC56120	2343	2
GBC29526	GBC81202	2343	1
GBC29526	GBC102411	2343	9
GBC29526	GBC303006	2343	3
GBC29526	GBC759915	2343	2
GBC29526	GBC1058875	2343	6
GBC29529	GBC29591	5	1
GBC29530	GBC29531	1	1
GBC29530	GBC29552	1	1
GBC29530	GBC29699	1	1
GBC29537	GBC29534	3	2
GBC29547	GBC29543	2	1
GBC29550	GBC29543	4	1
GBC29550	GBC29547	4	2
GBC29550	GBC29552	4	1
GBC29550	GBC29633	4	2
GBC29550	GBC1058878	4	1
GBC29623	GBC29618	2	1
GBC29618	GBC102438	1	1
GBC29623	GBC29633	2	2
GBC29623	GBC102440	2	2
GBC29623	GBC303020	2	1
GBC29623	GBC1058889	2	1
GBC29662	GBC29688	1	1
GBC29697	GBC29662	3	1
GBC29662	GBC303031	1	1
GBC29697	GBC29688	3	1
GBC29697	GBC29699	3	1
GBC29996	GBC29987	3	2
GBC29987	GBC30004	2	1
GBC29996	GBC30010	3	1
GBC37129	GBC30291	44	1
GBC133438	GBC31016	852	13
GBC31016	GBC219042	13	1
GBC31089	GBC31086	65	1
GBC32815	GBC31086	175	1
GBC31086	GBC34650	1	1
GBC31089	GBC31088	65	2
GBC32827	GBC31088	124	2
GBC31089	GBC31099	65	1
GBC32828	GBC31089	13378	65
GBC31089	GBC34652	65	9
GBC31089	GBC36298	65	2
GBC32874	GBC31099	98	1
GBC31496	GBC31493	15	1
GBC32197	GBC32086	58	1
GBC32197	GBC32192	58	1
GBC32815	GBC32192	175	1
GBC32197	GBC32199	58	3
GBC32197	GBC32200	58	2
GBC32197	GBC32221	58	1
GBC32828	GBC32197	13378	58
GBC32197	GBC33473	58	9
GBC32197	GBC33695	58	6
GBC32833	GBC32199	91	3
GBC32837	GBC32200	59	2
GBC32929	GBC32221	3	1
GBC32828	GBC32491	13378	3
GBC32755	GBC32750	66	1
GBC32815	GBC32750	175	1
GBC32750	GBC32890	1	1
GBC32828	GBC32755	13378	66
GBC32755	GBC32893	66	2
GBC32755	GBC32905	66	3
GBC32755	GBC305448	66	1
GBC32782	GBC32770	4	1
GBC32828	GBC32770	13378	1
GBC32874	GBC32770	98	1
GBC32828	GBC32782	13378	4
GBC32874	GBC32782	98	4
GBC32789	GBC32784	3	2
GBC32828	GBC32784	13378	2
GBC32854	GBC32784	59	2
GBC32789	GBC32791	3	2
GBC32828	GBC32789	13378	3
GBC32854	GBC32789	59	3
GBC32789	GBC32911	3	1
GBC32833	GBC32791	91	2
GBC32798	GBC32803	2	1
GBC32828	GBC32798	13378	2
GBC32828	GBC32803	13378	1
GBC32815	GBC32814	175	2
GBC32827	GBC32814	124	2
GBC32828	GBC32815	13378	175
GBC32815	GBC32841	175	13
GBC32815	GBC32842	175	9
GBC32815	GBC32867	175	1
GBC32815	GBC32890	175	1
GBC32815	GBC34650	175	1
GBC32815	GBC305462	175	1
GBC32821	GBC32824	16	11
GBC32828	GBC32821	13378	16
GBC32837	GBC32821	59	16
GBC32828	GBC32824	13378	11
GBC32837	GBC32824	59	11
GBC32825	GBC32826	14	6
GBC32828	GBC32825	13378	14
GBC32833	GBC32825	91	14
GBC32828	GBC32826	13378	6
GBC32833	GBC32826	91	6
GBC32828	GBC32827	13378	124
GBC32827	GBC32829	124	6
GBC32827	GBC32831	124	1
GBC32827	GBC32853	124	2
GBC32827	GBC32873	124	1
GBC32827	GBC305464	124	1
GBC32828	GBC32829	13378	6
GBC32828	GBC32831	13378	1
GBC32828	GBC32833	13378	91
GBC32828	GBC32837	13378	59
GBC32828	GBC32841	13378	13
GBC32828	GBC32842	13378	9
GBC32828	GBC32854	13378	59
GBC32828	GBC32874	13378	98
GBC32828	GBC32893	13378	2
GBC32828	GBC32905	13378	3
GBC32828	GBC32915	13378	7
GBC32828	GBC32929	13378	3
GBC32828	GBC32955	13378	2
GBC32828	GBC32988	13378	2
GBC32828	GBC33021	13378	4
GBC32828	GBC33473	13378	9
GBC32828	GBC33695	13378	6
GBC32828	GBC34652	13378	9
GBC32828	GBC36298	13378	2
GBC32828	GBC38861	13378	3
GBC32828	GBC45062	13378	1
GBC32828	GBC52610	13378	8
GBC32828	GBC58591	13378	4
GBC32828	GBC83496	13378	5
GBC32828	GBC134854	13378	2
GBC32828	GBC220468	13378	2
GBC32828	GBC305465	13378	4
GBC32828	GBC761682	13378	2
GBC32828	GBC1060183	13378	1
GBC32829	GBC32831	6	1
GBC32833	GBC32839	91	1
GBC32833	GBC32875	91	1
GBC32837	GBC32839	59	1
GBC32837	GBC32858	59	1
GBC32837	GBC32906	59	1
GBC32837	GBC52613	59	1
GBC32841	GBC32842	13	9
GBC32854	GBC32853	59	2
GBC32854	GBC32858	59	1
GBC32854	GBC33076	59	1
GBC32874	GBC32867	98	1
GBC32874	GBC32873	98	1
GBC32874	GBC32875	98	1
GBC32874	GBC33078	98	1
GBC32874	GBC305472	98	1
GBC32893	GBC32890	2	1
GBC32905	GBC32893	3	2
GBC32905	GBC32906	3	1
GBC32915	GBC32911	7	1
GBC32911	GBC38867	1	1
GBC32915	GBC32929	7	3
GBC32915	GBC32955	7	2
GBC32929	GBC32955	3	2
GBC32955	GBC305495	2	1
GBC33021	GBC32988	4	2
GBC33078	GBC58670	1	1
GBC33355	GBC404893	1	1
GBC761910	GBC33355	4285	1
GBC1060364	GBC33355	33	1
GBC33473	GBC33695	9	6
GBC34652	GBC34650	9	1
GBC34652	GBC36298	9	2
GBC47814	GBC35071	135	1
GBC406498	GBC35071	5	1
GBC406749	GBC35189	16	1
GBC136384	GBC35217	38	1
GBC407301	GBC35468	2261	15
GBC36175	GBC36762	17	1
GBC37129	GBC36935	44	2
GBC37129	GBC37124	44	1
GBC38861	GBC45062	3	1
GBC52610	GBC38861	8	3
GBC139802	GBC39576	18	5
GBC226266	GBC39576	37515	5
GBC313115	GBC39576	374	5
GBC41509	GBC41591	1	1
GBC42236	GBC42122	20	1
GBC42236	GBC42206	20	1
GBC43732	GBC44005	29	1
GBC43982	GBC43986	1	1
GBC43982	GBC46050	1	1
GBC46071	GBC43986	55	1
GBC44336	GBC49898	3	2
GBC52610	GBC45062	8	1
GBC769921	GBC45266	376	1
GBC770038	GBC45312	529	2
GBC45606	GBC142801	1	1
GBC230598	GBC45606	3031	1
GBC319267	GBC45606	19	1
GBC143030	GBC45842	354	6
GBC46071	GBC46050	55	1
GBC46071	GBC46074	55	1
GBC46071	GBC53778	55	2
GBC46071	GBC416165	55	1
GBC46497	GBC46529	31	1
GBC143724	GBC46766	8	1
GBC46948	GBC47362	1	1
GBC416924	GBC46948	154	1
GBC46948	GBC770837	1	1
GBC47785	GBC47759	2	1
GBC47814	GBC47785	135	2
GBC47785	GBC47826	2	1
GBC417916	GBC47785	71	2
GBC47814	GBC47794	135	3
GBC417942	GBC47794	72	3
GBC47814	GBC47801	135	3
GBC417960	GBC47801	78	3
GBC47814	GBC47826	135	1
GBC47814	GBC47841	135	1
GBC47814	GBC73283	135	1
GBC417992	GBC47814	18365	135
GBC47814	GBC771339	135	24
GBC47814	GBC1070523	135	5
GBC418096	GBC47826	5	1
GBC418183	GBC47841	15	1
GBC418619	GBC48015	96	2
GBC418976	GBC48141	765	1
GBC145480	GBC48672	5	1
GBC233801	GBC49073	418	1
GBC147372	GBC51128	208	1
GBC52610	GBC52613	8	1
GBC149248	GBC54404	20	1
GBC237570	GBC54843	35	1
GBC425338	GBC54843	6	1
GBC56120	GBC81202	2	1
GBC102411	GBC56120	9	2
GBC58576	GBC429394	1	1
GBC83496	GBC58591	5	4
GBC59460	GBC331235	1	1
GBC59975	GBC59587	111	5
GBC154537	GBC59587	186	5
GBC59587	GBC241705	5	1
GBC430479	GBC59902	22	2
GBC59975	GBC59948	111	4
GBC155040	GBC59948	137	4
GBC59960	GBC59961	2	1
GBC59960	GBC59968	2	1
GBC59975	GBC59960	111	2
GBC155130	GBC59960	99	2
GBC59961	GBC155131	1	1
GBC155172	GBC59975	12620	111
GBC59975	GBC242112	111	6
GBC59975	GBC331956	111	7
GBC67833	GBC61055	1024	7
GBC157693	GBC61684	117	1
GBC61684	GBC243825	1	1
GBC61973	GBC62067	1	1
GBC158135	GBC61973	318	1
GBC433352	GBC61973	364	1
GBC62482	GBC433992	4	1
GBC781483	GBC64215	228	1
GBC436092	GBC64421	19	2
GBC65712	GBC161932	9	7
GBC65712	GBC247640	9	2
GBC338755	GBC65712	59365	9
GBC67833	GBC65912	1024	1
GBC247807	GBC65932	576	1
GBC339221	GBC65932	2	1
GBC782479	GBC66376	195	1
GBC67272	GBC341322	1	1
GBC67833	GBC67627	1024	3
GBC67826	GBC67767	8	1
GBC67833	GBC67811	1024	1
GBC67815	GBC67816	7	1
GBC67833	GBC67815	1024	7
GBC67815	GBC67845	7	1
GBC67837	GBC67816	5	1
GBC67833	GBC67819	1024	1
GBC67842	GBC67819	2	1
GBC67833	GBC67822	1024	3
GBC67837	GBC67822	5	3
GBC67833	GBC67826	1024	8
GBC67833	GBC67834	1024	3
GBC67833	GBC67837	1024	5
GBC67833	GBC67842	1024	2
GBC67833	GBC67845	1024	1
GBC67833	GBC67851	1024	2
GBC67833	GBC68939	1024	1
GBC67833	GBC91412	1024	8
GBC67833	GBC342054	1024	1
GBC67833	GBC438391	1024	2
GBC67833	GBC1083112	1024	1
GBC68097	GBC68099	1	1
GBC163914	GBC68097	67	1
GBC164380	GBC68451	21	1
GBC440056	GBC68743	137	1
GBC68743	GBC784112	1	1
GBC69045	GBC69038	21	1
GBC440745	GBC69038	16	1
GBC69045	GBC69047	21	1
GBC440770	GBC69045	4229	21
GBC69045	GBC784508	21	2
GBC70726	GBC69391	99	1
GBC165616	GBC69673	10	1
GBC93753	GBC69886	2	1
GBC165943	GBC69886	6	1
GBC69886	GBC250879	1	1
GBC442705	GBC70453	14	1
GBC70453	GBC785803	1	1
GBC70463	GBC70453	19	1
GBC442713	GBC70457	13	1
GBC70463	GBC70457	19	1
GBC442722	GBC70463	2101	19
GBC70463	GBC785808	19	1
GBC70726	GBC70696	99	1
GBC70696	GBC70771	1	1
GBC70726	GBC70711	99	3
GBC70726	GBC70771	99	1
GBC70726	GBC70850	99	1
GBC70726	GBC344419	99	1
GBC70726	GBC786032	99	2
GBC72875	GBC72695	84	1
GBC72875	GBC73725	84	1
GBC72875	GBC167814	84	1
GBC72875	GBC252827	84	4
GBC72875	GBC346456	84	3
GBC72875	GBC444607	84	1
GBC444909	GBC73283	18	1
GBC74076	GBC74077	4	1
GBC74498	GBC74508	14	1
GBC75430	GBC75422	12	1
GBC789735	GBC75422	71	1
GBC75430	GBC347787	12	1
GBC75430	GBC446763	12	5
GBC790021	GBC75430	6187	12
GBC75430	GBC1088166	12	3
GBC169596	GBC75589	11	2
GBC449400	GBC77788	8	1
GBC172447	GBC78925	302	7
GBC450531	GBC79218	68	1
GBC174314	GBC80940	250	2
GBC102411	GBC81202	9	1
GBC82172	GBC82170	2	1
GBC83749	GBC82529	5	1
GBC176442	GBC83354	19	2
GBC797637	GBC83585	348	1
GBC83804	GBC83802	28	1
GBC177510	GBC84441	15	1
GBC84792	GBC178059	1	1
GBC92164	GBC86265	3	1
GBC180030	GBC86446	130	1
GBC459010	GBC86864	18	1
GBC184095	GBC90979	11	1
GBC463912	GBC91742	60	3
GBC91742	GBC803417	3	1
