id	top_neigh_count	top2_neigh_count
GBC263760	27	21
GBC263815	1936	1
GBC275394	6	1
GBC282946	1009	16
GBC284056	1	1
GBC286407	15	2
GBC286516	2947	1
GBC290024	39	16
GBC290029	217	16
GBC294438	624	8
GBC295244	866	13
GBC299078	1	1
GBC303006	2343	1
GBC303020	3	2
GBC303031	3	1
GBC305448	66	4
GBC305462	175	4
GBC305464	124	4
GBC305472	98	4
GBC305495	4	2
GBC306560	1	1
GBC310470	374	29
GBC312807	374	156
GBC313104	374	14
GBC313106	374	23
GBC313116	374	140
GBC313119	374	200
GBC313122	374	150
GBC313127	374	228
GBC313133	374	124
GBC313152	374	109
GBC313211	5	1
GBC315725	424	23
GBC315747	374	315
GBC317276	718	13
GBC318584	90	59
GBC320261	1	1
GBC324217	1	1
GBC328007	1	1
GBC328385	1009	23
GBC330802	1009	369
GBC330948	1009	250
GBC331036	1009	2
GBC331050	1009	12
GBC331081	1009	587
GBC331235	1009	14
GBC331250	1009	24
GBC332589	250	1
GBC332724	1009	10
GBC333597	353	284
GBC333844	91	1
GBC333860	2	1
GBC334450	369	23
GBC334517	250	23
GBC336321	184	22
GBC336322	222	22
GBC336650	2	1
GBC337811	369	250
GBC337906	369	12
GBC337932	4	1
GBC337938	587	369
GBC338006	369	217
GBC338021	369	169
GBC338224	587	250
GBC338230	4	1
GBC338274	250	16
GBC338284	250	217
GBC338311	250	36
GBC338539	587	19
GBC338555	587	1
GBC338561	587	7
GBC338570	587	12
GBC338573	587	16
GBC338584	587	217
GBC338585	2	1
GBC338593	587	169
GBC338612	222	19
GBC338755	1009	587
GBC338768	222	184
GBC338772	217	39
GBC338779	217	184
GBC338781	222	217
GBC338820	184	169
GBC338823	222	169
GBC338828	217	169
GBC338831	2	1
GBC338922	217	5
GBC338981	374	23
GBC338985	587	14
GBC339010	222	14
GBC339013	217	14
GBC339074	217	24
GBC339078	169	24
GBC339134	222	19
GBC339293	587	50
GBC339345	50	5
GBC339362	50	14
GBC340181	14	6
GBC340579	184	20
GBC340889	1	1
GBC341079	6	5
GBC341154	369	10
GBC341205	12	3
GBC341237	250	10
GBC341274	587	10
GBC341293	10	3
GBC341322	14	10
GBC341908	424	29
GBC341919	424	184
GBC341922	424	222
GBC341926	424	217
GBC341936	424	169
GBC342020	284	253
GBC342322	6	2
GBC342330	284	243
GBC342468	424	6
GBC342526	284	3
GBC342554	284	2
GBC342564	440	284
GBC342572	284	33
GBC342577	284	30
GBC342675	284	18
GBC342892	284	60
GBC342895	2	1
GBC343132	424	10
GBC345352	369	89
GBC345422	941	3
GBC345969	15	4
GBC345992	941	1
GBC345993	1	1
GBC347787	12	12
GBC348756	9	2
GBC348770	229	1
GBC349925	74	1
GBC349927	1	1
GBC351270	369	121
GBC351374	587	121
GBC351375	121	18
GBC351385	222	121
GBC351387	217	121
GBC351993	1	1
GBC358196	1	1
GBC358282	21	10
GBC361739	458	250
GBC361860	458	184
GBC361863	458	222
GBC361867	458	217
GBC361882	458	169
GBC363329	458	424
GBC363673	514	284
GBC363677	1	1
GBC367246	45	42
GBC367269	45	20
GBC367270	45	11
GBC367271	5659	2
GBC367292	45	4
GBC368443	45	39
GBC369109	15	3
GBC369146	15	2
GBC370260	3	1
GBC370267	1284	1
GBC370364	3	1
GBC370367	1284	1
GBC370389	8	3
GBC370416	1284	1
GBC370418	10	5
GBC370439	1284	1
GBC370447	15	13
GBC370475	10	2
GBC370519	2	2
GBC370643	1284	1
GBC370651	2	1
GBC370997	458	121
GBC376610	21	1
GBC378895	1	1
GBC384620	2	2
GBC384668	154	1
GBC387405	22	5
GBC388639	505	1
GBC388699	120	3
GBC390283	1	1
GBC390822	36	9
GBC391433	1	1
GBC391910	182	120
GBC391928	120	71
GBC391947	120	78
GBC391975	120	4
GBC392577	120	78
